pkg,size_mb,forkevent_pre,pullrequestevent_pre,pushevent_pre,releaseevent_pre,watchevent_pre,issues_opened_pre,issues_closed_pre
mmagic,19.89453125,40.0,61.0,33.0,1.0,352.0,10.0,38.0
model-scraper,0.005859375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
module-utilities,,,,,,,,
mote-gtest-gui,0.458984375,0.0,0.0,8.0,0.0,1.0,0.0,0.0
mountaintop,0.9921875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
movemapp-client,0.009765625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mpm-msftool,0.037109375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
mpxl2csv,3.6015625,0.0,0.0,7.0,3.0,1.0,0.0,0.0
msgraphlib,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
mt-auto-minhon-mlt,0.4365234375,0.0,0.0,20.0,0.0,0.0,0.0,0.0
mucart,0.033203125,0.0,0.0,12.0,3.0,0.0,0.0,0.0
mujoco-dev,42.869140625,74.0,24.0,206.0,3.0,511.0,127.0,134.0
multisubprocess,0.01171875,0.0,0.0,2.0,0.0,0.0,0.0,0.0
multiversx-sdk-transaction-decoder,0.015625,0.0,0.0,3.0,1.0,2.0,0.0,0.0
myfxbook,0.0029296875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mypy-boto3-osis,,,,,,,,
nail,0.1337890625,1.0,42.0,39.0,5.0,2.0,0.0,0.0
nakuru-project-idk,0.41015625,0.0,2.0,11.0,1.0,1.0,2.0,1.0
napari-correct-drift,,,,,,,,
napari-sam4is,,,,,,,,
nbt-structure-utils,0.05078125,1.0,14.0,31.0,9.0,1.0,5.0,0.0
ndfind,1.1826171875,0.0,0.0,46.0,0.0,0.0,0.0,0.0
nemoguardrails,12.8525390625,70.0,2.0,12.0,0.0,1227.0,14.0,10.0
netconf-tool,0.7841796875,0.0,7.0,9.0,0.0,4.0,0.0,0.0
neural-data-simulator,20.591796875,1.0,20.0,56.0,5.0,12.0,1.0,2.0
neuralbasics,12.998046875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nlvcore,2.3408203125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nlvwxpython,45.1005859375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nneten,11.7275390625,0.0,0.0,3.0,0.0,0.0,0.0,0.0
no-tegridy,2.4931640625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nodegraphqt,,,,,,,,
nodered-py,0.3203125,0.0,0.0,15.0,4.0,2.0,0.0,0.0
nonebot-desktop-tk,0.1259765625,0.0,0.0,12.0,6.0,4.0,0.0,0.0
nonebot-plugin-megumin,0.474609375,3.0,2.0,16.0,1.0,11.0,0.0,0.0
notifydesk,0.013671875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nsepythonserver,23.1943359375,7.0,0.0,6.0,0.0,20.0,7.0,6.0
numpy-cursor,0.0146484375,0.0,0.0,7.0,0.0,0.0,0.0,0.0
nycu-tdx-py,1.11328125,0.0,0.0,26.0,0.0,1.0,0.0,0.0
ocrd-network,37.7333984375,0.0,61.0,200.0,11.0,6.0,28.0,17.0
odoo-addon-auth-saml-environment,1.28515625,10.0,32.0,22.0,0.0,5.0,2.0,1.0
